Satellite Number,RAAN (degrees)
42837,341.9775
42838,341.7678
42839,341.6641000000001
42840,341.7625
42841,343.4941
42842,343.2787
42845,344.25440000000003
43182,55.9074
43183,57.361000000000004
43184,55.4304
43185,56.4812
43882,65.39760000000001
43883,65.584
43884,66.0606
43885,65.1402
43886,64.6426
43887,66.1046
43888,69.2797
43889,69.3396
46501,121.1482
46503,119.34010000000002
48269,218.3966
48273,218.6585
56970,271.8061
56974,273.8733
56977,273.9775
57390,352.6935
57391,352.281
58259,227.15050000000002
58260,227.7797
58263,227.6258
58267,227.5294
58332,228.4766
58333,228.09480000000002
58336,227.7336
58340,227.9265
